number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
successful step! iteration = 25, error before = 555.932209, error next = 549.679303, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.482087, error_v = -0.012660
camera id = 1, point id = 0, error_u = -0.068647, error_v = 1.292275
camera id = 2, point id = 0, error_u = -2.063876, error_v = -2.141303
camera id = 7, point id = 0, error_u = 0.015729, error_v = 1.716971
camera id = 12, point id = 0, error_u = 7.167304, error_v = -1.404394
camera id = 13, point id = 0, error_u = 0.260950, error_v = 0.438191
camera id = 0, point id = 1, error_u = -0.064941, error_v = 0.126619
camera id = 1, point id = 1, error_u = 1.880685, error_v = -1.313224
camera id = 10, point id = 1, error_u = 1.367735, error_v = 2.829332
camera id = 0, point id = 2, error_u = -0.700534, error_v = -0.597439
camera id = 1, point id = 2, error_u = 5.553543, error_v = -0.900927
camera id = 2, point id = 2, error_u = -3.062390, error_v = -3.109268
camera id = 6, point id = 2, error_u = 0.099893, error_v = -0.177766
camera id = 7, point id = 2, error_u = -5.565703, error_v = -3.047155
camera id = 9, point id = 2, error_u = -4.364290, error_v = -3.975355
camera id = 10, point id = 2, error_u = 6.302008, error_v = 4.636307
camera id = 12, point id = 2, error_u = -0.240677, error_v = 1.425075
camera id = 13, point id = 2, error_u = 0.606393, error_v = -0.480086
camera id = 15, point id = 2, error_u = 1.675836, error_v = 1.304089
camera id = 0, point id = 3, error_u = -0.675194, error_v = -0.739059
camera id = 1, point id = 3, error_u = 5.518437, error_v = -1.075873
camera id = 2, point id = 3, error_u = -3.361657, error_v = -3.130152
camera id = 6, point id = 3, error_u = -0.123511, error_v = -0.137215
camera id = 7, point id = 3, error_u = -5.699164, error_v = -3.021823
camera id = 8, point id = 3, error_u = 0.411996, error_v = -0.589856
camera id = 9, point id = 3, error_u = -4.742363, error_v = -3.969497
camera id = 10, point id = 3, error_u = 6.096369, error_v = 4.489578
camera id = 12, point id = 3, error_u = -0.309393, error_v = 1.362377
camera id = 15, point id = 3, error_u = 1.808052, error_v = 0.984479
camera id = 0, point id = 4, error_u = -0.176063, error_v = 0.899486
camera id = 1, point id = 4, error_u = 3.483130, error_v = 2.246249
camera id = 2, point id = 4, error_u = -2.259688, error_v = 0.099455
camera id = 3, point id = 4, error_u = -10.355552, error_v = -1.529610
camera id = 5, point id = 4, error_u = 1.010839, error_v = 0.303813
camera id = 6, point id = 4, error_u = -2.094372, error_v = 2.519547
camera id = 8, point id = 4, error_u = 0.892309, error_v = 0.331234
camera id = 9, point id = 4, error_u = -2.293031, error_v = -2.940917
camera id = 11, point id = 4, error_u = -0.808802, error_v = 0.337085
camera id = 13, point id = 4, error_u = 0.084257, error_v = 0.103477
camera id = 14, point id = 4, error_u = -0.936108, error_v = 0.254797
camera id = 0, point id = 5, error_u = -0.055187, error_v = -0.419027
camera id = 1, point id = 5, error_u = 2.316620, error_v = 0.198146
camera id = 3, point id = 5, error_u = -12.833534, error_v = -12.353053
camera id = 4, point id = 5, error_u = -0.896685, error_v = -0.335755
camera id = 5, point id = 5, error_u = 0.248516, error_v = -0.773729
camera id = 6, point id = 5, error_u = -3.283542, error_v = 0.806240
camera id = 7, point id = 5, error_u = -4.197707, error_v = -1.938604
camera id = 8, point id = 5, error_u = -2.492475, error_v = -0.693206
camera id = 9, point id = 5, error_u = -7.478501, error_v = -6.212721
camera id = 10, point id = 5, error_u = 0.126969, error_v = 1.701188
camera id = 13, point id = 5, error_u = -0.106479, error_v = -0.953096
camera id = 15, point id = 5, error_u = -0.358197, error_v = 0.780870
successful step! iteration = 26, error before = 549.679303, error next = 543.001709, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.473288, error_v = 0.017255
camera id = 1, point id = 0, error_u = -0.086879, error_v = 1.327837
camera id = 2, point id = 0, error_u = -1.978873, error_v = -2.003974
camera id = 7, point id = 0, error_u = 0.152129, error_v = 1.833656
camera id = 12, point id = 0, error_u = 7.116038, error_v = -1.301153
camera id = 13, point id = 0, error_u = 0.263098, error_v = 0.459203
camera id = 0, point id = 1, error_u = -0.077390, error_v = 0.138214
camera id = 1, point id = 1, error_u = 1.827588, error_v = -1.256192
camera id = 10, point id = 1, error_u = 1.189272, error_v = 2.786743
camera id = 0, point id = 2, error_u = -0.692055, error_v = -0.587742
camera id = 1, point id = 2, error_u = 5.507257, error_v = -0.850949
camera id = 2, point id = 2, error_u = -2.959115, error_v = -3.018326
camera id = 6, point id = 2, error_u = 0.103869, error_v = -0.164500
camera id = 7, point id = 2, error_u = -5.363826, error_v = -3.027734
camera id = 9, point id = 2, error_u = -4.700235, error_v = -4.029747
camera id = 10, point id = 2, error_u = 6.122961, error_v = 4.575074
camera id = 12, point id = 2, error_u = -0.158034, error_v = 1.458107
camera id = 13, point id = 2, error_u = 0.607446, error_v = -0.469415
camera id = 15, point id = 2, error_u = 1.636946, error_v = 1.264524
camera id = 0, point id = 3, error_u = -0.664439, error_v = -0.727055
camera id = 1, point id = 3, error_u = 5.476407, error_v = -1.023851
camera id = 2, point id = 3, error_u = -3.256419, error_v = -3.035879
camera id = 6, point id = 3, error_u = -0.116972, error_v = -0.120430
camera id = 7, point id = 3, error_u = -5.495534, error_v = -3.000049
camera id = 8, point id = 3, error_u = 0.460553, error_v = -0.516669
camera id = 9, point id = 3, error_u = -5.075551, error_v = -4.018758
camera id = 10, point id = 3, error_u = 5.921725, error_v = 4.433725
camera id = 12, point id = 3, error_u = -0.224427, error_v = 1.397496
camera id = 15, point id = 3, error_u = 1.772522, error_v = 0.949190
camera id = 0, point id = 4, error_u = -0.154051, error_v = 0.913081
camera id = 1, point id = 4, error_u = 3.467642, error_v = 2.280573
camera id = 2, point id = 4, error_u = -2.163521, error_v = 0.185941
camera id = 3, point id = 4, error_u = -10.352802, error_v = -1.448754
camera id = 5, point id = 4, error_u = 0.990896, error_v = 0.322411
camera id = 6, point id = 4, error_u = -2.073180, error_v = 2.541258
camera id = 8, point id = 4, error_u = 0.911222, error_v = 0.387373
camera id = 9, point id = 4, error_u = -2.522743, error_v = -3.017682
camera id = 11, point id = 4, error_u = -0.820713, error_v = 0.351320
camera id = 13, point id = 4, error_u = 0.095495, error_v = 0.117663
camera id = 14, point id = 4, error_u = -0.944333, error_v = 0.263437
camera id = 0, point id = 5, error_u = -0.019712, error_v = -0.392171
camera id = 1, point id = 5, error_u = 2.307494, error_v = 0.244527
camera id = 3, point id = 5, error_u = -12.672002, error_v = -12.226323
camera id = 4, point id = 5, error_u = -0.829412, error_v = -0.382224
camera id = 5, point id = 5, error_u = 0.243335, error_v = -0.720701
camera id = 6, point id = 5, error_u = -3.214013, error_v = 0.855818
camera id = 7, point id = 5, error_u = -3.956539, error_v = -1.856278
camera id = 8, point id = 5, error_u = -2.397881, error_v = -0.589153
camera id = 9, point id = 5, error_u = -7.758980, error_v = -6.350733
camera id = 10, point id = 5, error_u = 0.042804, error_v = 1.646758
camera id = 13, point id = 5, error_u = -0.064482, error_v = -0.925485
camera id = 15, point id = 5, error_u = -0.344731, error_v = 0.768849
successful step! iteration = 27, error before = 543.001709, error next = 535.912695, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.464985, error_v = 0.047750
camera id = 1, point id = 0, error_u = -0.108765, error_v = 1.362931
camera id = 2, point id = 0, error_u = -1.892204, error_v = -1.862491
camera id = 7, point id = 0, error_u = 0.290547, error_v = 1.953791
camera id = 12, point id = 0, error_u = 7.058023, error_v = -1.196862
camera id = 13, point id = 0, error_u = 0.264297, error_v = 0.480647
camera id = 0, point id = 1, error_u = -0.090372, error_v = 0.149493
camera id = 1, point id = 1, error_u = 1.767366, error_v = -1.198199
camera id = 10, point id = 1, error_u = 1.003053, error_v = 2.737802
camera id = 0, point id = 2, error_u = -0.683293, error_v = -0.577964
camera id = 1, point id = 2, error_u = 5.453094, error_v = -0.800169
camera id = 2, point id = 2, error_u = -2.851859, error_v = -2.923535
camera id = 6, point id = 2, error_u = 0.108556, error_v = -0.153153
camera id = 7, point id = 2, error_u = -5.155843, error_v = -3.005063
camera id = 9, point id = 2, error_u = -5.023260, error_v = -4.075255
camera id = 10, point id = 2, error_u = 5.935804, error_v = 4.506552
camera id = 12, point id = 2, error_u = -0.077033, error_v = 1.490622
camera id = 13, point id = 2, error_u = 0.607600, error_v = -0.458343
camera id = 15, point id = 2, error_u = 1.595198, error_v = 1.222649
camera id = 0, point id = 3, error_u = -0.653283, error_v = -0.714927
camera id = 1, point id = 3, error_u = 5.426718, error_v = -0.970959
camera id = 2, point id = 3, error_u = -3.147066, error_v = -2.937666
camera id = 6, point id = 3, error_u = -0.109587, error_v = -0.105450
camera id = 7, point id = 3, error_u = -5.285662, error_v = -2.974988
camera id = 8, point id = 3, error_u = 0.509608, error_v = -0.442717
camera id = 9, point id = 3, error_u = -5.395708, error_v = -4.059145
camera id = 10, point id = 3, error_u = 5.739175, error_v = 4.370791
camera id = 12, point id = 3, error_u = -0.140944, error_v = 1.432180
camera id = 15, point id = 3, error_u = 1.734316, error_v = 0.911709
camera id = 0, point id = 4, error_u = -0.130900, error_v = 0.926205
camera id = 1, point id = 4, error_u = 3.447654, error_v = 2.313000
camera id = 2, point id = 4, error_u = -2.063829, error_v = 0.274980
camera id = 3, point id = 4, error_u = -10.349711, error_v = -1.365195
camera id = 5, point id = 4, error_u = 0.971159, error_v = 0.340421
camera id = 6, point id = 4, error_u = -2.048982, error_v = 2.560717
camera id = 8, point id = 4, error_u = 0.930883, error_v = 0.443487
camera id = 9, point id = 4, error_u = -2.743878, error_v = -3.086734
camera id = 11, point id = 4, error_u = -0.830223, error_v = 0.364700
camera id = 13, point id = 4, error_u = 0.106938, error_v = 0.131603
camera id = 14, point id = 4, error_u = -0.949749, error_v = 0.271332
camera id = 0, point id = 5, error_u = 0.017871, error_v = -0.363849
camera id = 1, point id = 5, error_u = 2.294494, error_v = 0.291857
camera id = 3, point id = 5, error_u = -12.503106, error_v = -12.091889
camera id = 4, point id = 5, error_u = -0.759959, error_v = -0.431119
camera id = 5, point id = 5, error_u = 0.241156, error_v = -0.665182
camera id = 6, point id = 5, error_u = -3.137897, error_v = 0.907103
camera id = 7, point id = 5, error_u = -3.707553, error_v = -1.768199
camera id = 8, point id = 5, error_u = -2.298735, error_v = -0.481065
camera id = 9, point id = 5, error_u = -8.021911, error_v = -6.468853
camera id = 10, point id = 5, error_u = -0.043465, error_v = 1.587144
camera id = 13, point id = 5, error_u = -0.020098, error_v = -0.895686
camera id = 15, point id = 5, error_u = -0.330714, error_v = 0.756721
successful step! iteration = 28, error before = 535.912695, error next = 528.428853, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.457192, error_v = 0.078724
camera id = 1, point id = 0, error_u = -0.134261, error_v = 1.397449
camera id = 2, point id = 0, error_u = -1.803987, error_v = -1.717173
camera id = 7, point id = 0, error_u = 0.430729, error_v = 2.077058
camera id = 12, point id = 0, error_u = 6.993307, error_v = -1.091780
camera id = 13, point id = 0, error_u = 0.264529, error_v = 0.502433
camera id = 0, point id = 1, error_u = -0.103785, error_v = 0.160438
camera id = 1, point id = 1, error_u = 1.700216, error_v = -1.139378
camera id = 10, point id = 1, error_u = 0.809561, error_v = 2.682643
camera id = 0, point id = 2, error_u = -0.674255, error_v = -0.568126
camera id = 1, point id = 2, error_u = 5.391179, error_v = -0.748692
camera id = 2, point id = 2, error_u = -2.740788, error_v = -2.825071
camera id = 6, point id = 2, error_u = 0.113918, error_v = -0.143747
camera id = 7, point id = 2, error_u = -4.942103, error_v = -2.979192
camera id = 9, point id = 2, error_u = -5.332788, error_v = -4.111779
camera id = 10, point id = 2, error_u = 5.740951, error_v = 4.430907
camera id = 12, point id = 2, error_u = 0.002225, error_v = 1.522512
camera id = 13, point id = 2, error_u = 0.606850, error_v = -0.446909
camera id = 15, point id = 2, error_u = 1.550685, error_v = 1.178544
camera id = 0, point id = 3, error_u = -0.641741, error_v = -0.702701
camera id = 1, point id = 3, error_u = 5.369481, error_v = -0.917307
camera id = 2, point id = 3, error_u = -3.033770, error_v = -2.835694
camera id = 6, point id = 3, error_u = -0.101401, error_v = -0.092304
camera id = 7, point id = 3, error_u = -5.069905, error_v = -2.946700
camera id = 8, point id = 3, error_u = 0.559022, error_v = -0.368201
camera id = 9, point id = 3, error_u = -5.702267, error_v = -4.090569
camera id = 10, point id = 3, error_u = 5.549118, error_v = 4.300926
camera id = 12, point id = 3, error_u = -0.059054, error_v = 1.466312
camera id = 15, point id = 3, error_u = 1.693516, error_v = 0.872107
camera id = 0, point id = 4, error_u = -0.106635, error_v = 0.938811
camera id = 1, point id = 4, error_u = 3.423227, error_v = 2.343439
camera id = 2, point id = 4, error_u = -1.960748, error_v = 0.366385
camera id = 3, point id = 4, error_u = -10.346253, error_v = -1.279044
camera id = 5, point id = 4, error_u = 0.951648, error_v = 0.357763
camera id = 6, point id = 4, error_u = -2.021833, error_v = 2.577855
camera id = 8, point id = 4, error_u = 0.951250, error_v = 0.499410
camera id = 9, point id = 4, error_u = -2.955999, error_v = -3.147933
camera id = 11, point id = 4, error_u = -0.837321, error_v = 0.377184
camera id = 13, point id = 4, error_u = 0.118570, error_v = 0.145242
camera id = 14, point id = 4, error_u = -0.952359, error_v = 0.278443
camera id = 0, point id = 5, error_u = 0.057511, error_v = -0.334123
camera id = 1, point id = 5, error_u = 2.277664, error_v = 0.340031
camera id = 3, point id = 5, error_u = -12.326950, error_v = -11.949894
camera id = 4, point id = 5, error_u = -0.688382, error_v = -0.482268
camera id = 5, point id = 5, error_u = 0.241940, error_v = -0.607297
camera id = 6, point id = 5, error_u = -3.055322, error_v = 0.959982
camera id = 7, point id = 5, error_u = -3.451127, error_v = -1.674583
camera id = 8, point id = 5, error_u = -2.195229, error_v = -0.369201
camera id = 9, point id = 5, error_u = -8.266812, error_v = -6.566854
camera id = 10, point id = 5, error_u = -0.131622, error_v = 1.522493
camera id = 13, point id = 5, error_u = 0.026600, error_v = -0.863773
camera id = 15, point id = 5, error_u = -0.316148, error_v = 0.744502
successful step! iteration = 29, error before = 528.428853, error next = 520.570067, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.449924, error_v = 0.110078
camera id = 1, point id = 0, error_u = -0.163316, error_v = 1.431285
camera id = 2, point id = 0, error_u = -1.714338, error_v = -1.568350
camera id = 7, point id = 0, error_u = 0.572418, error_v = 2.203130
camera id = 12, point id = 0, error_u = 6.921949, error_v = -0.986167
camera id = 13, point id = 0, error_u = 0.263779, error_v = 0.524469
camera id = 0, point id = 1, error_u = -0.117523, error_v = 0.171031
camera id = 1, point id = 1, error_u = 1.626349, error_v = -1.079864
camera id = 10, point id = 1, error_u = 0.609297, error_v = 2.621412
camera id = 0, point id = 2, error_u = -0.664948, error_v = -0.558247
camera id = 1, point id = 2, error_u = 5.321650, error_v = -0.696625
camera id = 2, point id = 2, error_u = -2.626069, error_v = -2.723110
camera id = 6, point id = 2, error_u = 0.119917, error_v = -0.136300
camera id = 7, point id = 2, error_u = -4.722962, error_v = -2.950178
camera id = 9, point id = 2, error_u = -5.628278, error_v = -4.139244
camera id = 10, point id = 2, error_u = 5.538829, error_v = 4.348315
camera id = 12, point id = 2, error_u = 0.079643, error_v = 1.553670
camera id = 13, point id = 2, error_u = 0.605191, error_v = -0.435151
camera id = 15, point id = 2, error_u = 1.503507, error_v = 1.132293
camera id = 0, point id = 3, error_u = -0.629829, error_v = -0.690401
camera id = 1, point id = 3, error_u = 5.304816, error_v = -0.863006
camera id = 2, point id = 3, error_u = -2.916710, error_v = -2.730150
camera id = 6, point id = 3, error_u = -0.092464, error_v = -0.081020
camera id = 7, point id = 3, error_u = -4.848627, error_v = -2.915243
camera id = 8, point id = 3, error_u = 0.608653, error_v = -0.293320
camera id = 9, point id = 3, error_u = -5.994697, error_v = -4.112966
camera id = 10, point id = 3, error_u = 5.351963, error_v = 4.224294
camera id = 12, point id = 3, error_u = 0.021135, error_v = 1.499779
camera id = 15, point id = 3, error_u = 1.650204, error_v = 0.830457
camera id = 0, point id = 4, error_u = -0.081282, error_v = 0.950856
camera id = 1, point id = 4, error_u = 3.394424, error_v = 2.371798
camera id = 2, point id = 4, error_u = -1.854417, error_v = 0.459963
camera id = 3, point id = 4, error_u = -10.342402, error_v = -1.190419
camera id = 5, point id = 4, error_u = 0.932379, error_v = 0.374355
camera id = 6, point id = 4, error_u = -1.991796, error_v = 2.592602
camera id = 8, point id = 4, error_u = 0.972276, error_v = 0.554972
camera id = 9, point id = 4, error_u = -3.158691, error_v = -3.201166
camera id = 11, point id = 4, error_u = -0.842004, error_v = 0.388734
camera id = 13, point id = 4, error_u = 0.130376, error_v = 0.158522
camera id = 14, point id = 4, error_u = -0.952175, error_v = 0.284733
camera id = 0, point id = 5, error_u = 0.099154, error_v = -0.303059
camera id = 1, point id = 5, error_u = 2.257057, error_v = 0.388945
camera id = 3, point id = 5, error_u = -12.143648, error_v = -11.800485
camera id = 4, point id = 5, error_u = -0.614735, error_v = -0.535490
camera id = 5, point id = 5, error_u = 0.245636, error_v = -0.547175
camera id = 6, point id = 5, error_u = -2.966430, error_v = 1.014337
camera id = 7, point id = 5, error_u = -3.187652, error_v = -1.575653
camera id = 8, point id = 5, error_u = -2.087563, error_v = -0.253832
camera id = 9, point id = 5, error_u = -8.493246, error_v = -6.644552
camera id = 10, point id = 5, error_u = -0.221450, error_v = 1.452962
camera id = 13, point id = 5, error_u = 0.075532, error_v = -0.829827
camera id = 15, point id = 5, error_u = -0.301041, error_v = 0.732209
successful step! iteration = 30, error before = 520.570067, error next = 512.359458, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.443195, error_v = 0.141709
camera id = 1, point id = 0, error_u = -0.195873, error_v = 1.464329
camera id = 2, point id = 0, error_u = -1.623375, error_v = -1.416356
camera id = 7, point id = 0, error_u = 0.715353, error_v = 2.331673
camera id = 12, point id = 0, error_u = 6.844015, error_v = -0.880283
camera id = 13, point id = 0, error_u = 0.262033, error_v = 0.546665
camera id = 0, point id = 1, error_u = -0.131476, error_v = 0.181259
camera id = 1, point id = 1, error_u = 1.545993, error_v = -1.019795
camera id = 10, point id = 1, error_u = 0.402772, error_v = 2.554267
camera id = 0, point id = 2, error_u = -0.655380, error_v = -0.548348
camera id = 1, point id = 2, error_u = 5.244653, error_v = -0.644077
camera id = 2, point id = 2, error_u = -2.507876, error_v = -2.617836
camera id = 6, point id = 2, error_u = 0.126512, error_v = -0.130825
camera id = 7, point id = 2, error_u = -4.498785, error_v = -2.918079
camera id = 9, point id = 2, error_u = -5.909228, error_v = -4.157595
camera id = 10, point id = 2, error_u = 5.329872, error_v = 4.258964
camera id = 12, point id = 2, error_u = 0.155130, error_v = 1.583991
camera id = 13, point id = 2, error_u = 0.602618, error_v = -0.423110
camera id = 15, point id = 2, error_u = 1.453762, error_v = 1.083984
camera id = 0, point id = 3, error_u = -0.617564, error_v = -0.678052
camera id = 1, point id = 3, error_u = 5.232857, error_v = -0.808166
camera id = 2, point id = 3, error_u = -2.796068, error_v = -2.621229
camera id = 6, point id = 3, error_u = -0.082827, error_v = -0.071618
camera id = 7, point id = 3, error_u = -4.622201, error_v = -2.880685
camera id = 8, point id = 3, error_u = 0.658356, error_v = -0.218275
camera id = 9, point id = 3, error_u = -6.272508, error_v = -4.126293
camera id = 10, point id = 3, error_u = 5.148131, error_v = 4.141069
camera id = 12, point id = 3, error_u = 0.099522, error_v = 1.532466
camera id = 15, point id = 3, error_u = 1.604468, error_v = 0.786837
camera id = 0, point id = 4, error_u = -0.054873, error_v = 0.962292
camera id = 1, point id = 4, error_u = 3.361318, error_v = 2.397990
camera id = 2, point id = 4, error_u = -1.744982, error_v = 0.555518
camera id = 3, point id = 4, error_u = -10.338132, error_v = -1.099437
camera id = 5, point id = 4, error_u = 0.913366, error_v = 0.390115
camera id = 6, point id = 4, error_u = -1.958942, error_v = 2.604893
camera id = 8, point id = 4, error_u = 0.993913, error_v = 0.610004
camera id = 9, point id = 4, error_u = -3.351568, error_v = -3.246339
camera id = 11, point id = 4, error_u = -0.844274, error_v = 0.399309
camera id = 13, point id = 4, error_u = 0.142339, error_v = 0.171387
camera id = 14, point id = 4, error_u = -0.949215, error_v = 0.290165
camera id = 0, point id = 5, error_u = 0.142743, error_v = -0.270724
camera id = 1, point id = 5, error_u = 2.232730, error_v = 0.438492
camera id = 3, point id = 5, error_u = -11.953317, error_v = -11.643822
camera id = 4, point id = 5, error_u = -0.539076, error_v = -0.590598
camera id = 5, point id = 5, error_u = 0.252183, error_v = -0.484948
camera id = 6, point id = 5, error_u = -2.871374, error_v = 1.070050
camera id = 7, point id = 5, error_u = -2.917529, error_v = -1.471645
camera id = 8, point id = 5, error_u = -1.975948, error_v = -0.135235
camera id = 9, point id = 5, error_u = -8.700816, error_v = -6.701815
camera id = 10, point id = 5, error_u = -0.312729, error_v = 1.378712
camera id = 13, point id = 5, error_u = 0.126614, error_v = -0.793931
camera id = 15, point id = 5, error_u = -0.285398, error_v = 0.719856
successful step! iteration = 31, error before = 512.359458, error next = 503.823286, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.437015, error_v = 0.173515
camera id = 1, point id = 0, error_u = -0.231871, error_v = 1.496475
camera id = 2, point id = 0, error_u = -1.531218, error_v = -1.261532
camera id = 7, point id = 0, error_u = 0.859272, error_v = 2.462349
camera id = 12, point id = 0, error_u = 6.759583, error_v = -0.774388
camera id = 13, point id = 0, error_u = 0.259276, error_v = 0.568926
camera id = 0, point id = 1, error_u = -0.145530, error_v = 0.191105
camera id = 1, point id = 1, error_u = 1.459385, error_v = -0.959307
camera id = 10, point id = 1, error_u = 0.190513, error_v = 2.481377
camera id = 0, point id = 2, error_u = -0.645559, error_v = -0.538448
camera id = 1, point id = 2, error_u = 5.160351, error_v = -0.591154
camera id = 2, point id = 2, error_u = -2.386387, error_v = -2.509436
camera id = 6, point id = 2, error_u = 0.133661, error_v = -0.127332
camera id = 7, point id = 2, error_u = -4.269943, error_v = -2.882960
camera id = 9, point id = 2, error_u = -6.175174, error_v = -4.166802
camera id = 10, point id = 2, error_u = 5.114528, error_v = 4.163055
camera id = 12, point id = 2, error_u = 0.228600, error_v = 1.613371
camera id = 13, point id = 2, error_u = 0.599125, error_v = -0.410826
camera id = 15, point id = 2, error_u = 1.401555, error_v = 1.033708
camera id = 0, point id = 3, error_u = -0.604964, error_v = -0.665680
camera id = 1, point id = 3, error_u = 5.153750, error_v = -0.752898
camera id = 2, point id = 3, error_u = -2.672033, error_v = -2.509124
camera id = 6, point id = 3, error_u = -0.072545, error_v = -0.064120
camera id = 7, point id = 3, error_u = -4.391005, error_v = -2.843093
camera id = 8, point id = 3, error_u = 0.707981, error_v = -0.143270
camera id = 9, point id = 3, error_u = -6.535245, error_v = -4.130530
camera id = 10, point id = 3, error_u = 4.938051, error_v = 4.051439
camera id = 12, point id = 3, error_u = 0.176007, error_v = 1.564263
camera id = 15, point id = 3, error_u = 1.556397, error_v = 0.741327
camera id = 0, point id = 4, error_u = -0.027437, error_v = 0.973076
camera id = 1, point id = 4, error_u = 3.323987, error_v = 2.421928
camera id = 2, point id = 4, error_u = -1.632590, error_v = 0.652850
camera id = 3, point id = 4, error_u = -10.333416, error_v = -1.006219
camera id = 5, point id = 4, error_u = 0.894622, error_v = 0.404959
camera id = 6, point id = 4, error_u = -1.923346, error_v = 2.614665
camera id = 8, point id = 4, error_u = 1.016111, error_v = 0.664336
camera id = 9, point id = 4, error_u = -3.534266, error_v = -3.283379
camera id = 11, point id = 4, error_u = -0.844137, error_v = 0.408872
camera id = 13, point id = 4, error_u = 0.154443, error_v = 0.183778
camera id = 14, point id = 4, error_u = -0.943504, error_v = 0.294703
camera id = 0, point id = 5, error_u = 0.188214, error_v = -0.237187
camera id = 1, point id = 5, error_u = 2.204745, error_v = 0.488563
camera id = 3, point id = 5, error_u = -11.756082, error_v = -11.480070
camera id = 4, point id = 5, error_u = -0.461467, error_v = -0.647398
camera id = 5, point id = 5, error_u = 0.261511, error_v = -0.420755
camera id = 6, point id = 5, error_u = -2.770319, error_v = 1.126997
camera id = 7, point id = 5, error_u = -2.641167, error_v = -1.362803
camera id = 8, point id = 5, error_u = -1.860601, error_v = -0.013693
camera id = 9, point id = 5, error_u = -8.889166, error_v = -6.738554
camera id = 10, point id = 5, error_u = -0.405238, error_v = 1.299915
camera id = 13, point id = 5, error_u = 0.179757, error_v = -0.756172
camera id = 15, point id = 5, error_u = -0.269227, error_v = 0.707457
successful step! iteration = 32, error before = 503.823286, error next = 494.990829, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.431396, error_v = 0.205392
camera id = 1, point id = 0, error_u = -0.271240, error_v = 1.527617
camera id = 2, point id = 0, error_u = -1.437985, error_v = -1.104223
camera id = 7, point id = 0, error_u = 1.003911, error_v = 2.594814
camera id = 12, point id = 0, error_u = 6.668739, error_v = -0.668740
camera id = 13, point id = 0, error_u = 0.255496, error_v = 0.591160
camera id = 0, point id = 1, error_u = -0.159571, error_v = 0.200560
camera id = 1, point id = 1, error_u = 1.366779, error_v = -0.898539
camera id = 10, point id = 1, error_u = -0.026944, error_v = 2.402925
camera id = 0, point id = 2, error_u = -0.635495, error_v = -0.528566
camera id = 1, point id = 2, error_u = 5.068915, error_v = -0.537967
camera id = 2, point id = 2, error_u = -2.261786, error_v = -2.398103
camera id = 6, point id = 2, error_u = 0.141316, error_v = -0.125828
camera id = 7, point id = 2, error_u = -4.036813, error_v = -2.844888
camera id = 9, point id = 2, error_u = -6.425689, error_v = -4.166856
camera id = 10, point id = 2, error_u = 4.893249, error_v = 4.060801
camera id = 12, point id = 2, error_u = 0.299970, error_v = 1.641708
camera id = 13, point id = 2, error_u = 0.594707, error_v = -0.398339
camera id = 15, point id = 2, error_u = 1.346993, error_v = 0.981558
camera id = 0, point id = 3, error_u = -0.592048, error_v = -0.653307
camera id = 1, point id = 3, error_u = 5.067650, error_v = -0.697316
camera id = 2, point id = 3, error_u = -2.544796, error_v = -2.394039
camera id = 6, point id = 3, error_u = -0.061673, error_v = -0.058540
camera id = 7, point id = 3, error_u = -4.155426, error_v = -2.802542
camera id = 8, point id = 3, error_u = 0.757379, error_v = -0.068507
camera id = 9, point id = 3, error_u = -6.782493, error_v = -4.125680
camera id = 10, point id = 3, error_u = 4.722159, error_v = 3.955602
camera id = 12, point id = 3, error_u = 0.250497, error_v = 1.595058
camera id = 15, point id = 3, error_u = 1.506084, error_v = 0.694011
camera id = 0, point id = 4, error_u = 0.000992, error_v = 0.983163
camera id = 1, point id = 4, error_u = 3.282515, error_v = 2.443529
camera id = 2, point id = 4, error_u = -1.517394, error_v = 0.751755
camera id = 3, point id = 4, error_u = -10.328226, error_v = -0.910887
camera id = 5, point id = 4, error_u = 0.876153, error_v = 0.418805
camera id = 6, point id = 4, error_u = -1.885088, error_v = 2.621857
camera id = 8, point id = 4, error_u = 1.038816, error_v = 0.717796
camera id = 9, point id = 4, error_u = -3.706447, error_v = -3.312239
camera id = 11, point id = 4, error_u = -0.841609, error_v = 0.417386
camera id = 13, point id = 4, error_u = 0.166667, error_v = 0.195639
camera id = 14, point id = 4, error_u = -0.935073, error_v = 0.298312
camera id = 0, point id = 5, error_u = 0.235504, error_v = -0.202521
camera id = 1, point id = 5, error_u = 2.173173, error_v = 0.539050
camera id = 3, point id = 5, error_u = -11.552077, error_v = -11.309405
camera id = 4, point id = 5, error_u = -0.381967, error_v = -0.705690
camera id = 5, point id = 5, error_u = 0.273543, error_v = -0.354738
camera id = 6, point id = 5, error_u = -2.663438, error_v = 1.185051
camera id = 7, point id = 5, error_u = -2.358985, error_v = -1.249382
camera id = 8, point id = 5, error_u = -1.741749, error_v = 0.110501
camera id = 9, point id = 5, error_u = -9.057982, error_v = -6.754730
